company,type,address,price,sq_meter_price,area,n_rooms,floor,build_year,market
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,505500,12087.52,41.82,2,1,0,pierwotny
Port Poszukiwacze Nieruchomoœci,Dom bliŸniak,"Banino, Pszenna",599000,3576.12,167.50,5,0,2020,pierwotny
,Mieszkanie,Gdañsk Dolne Miasto,2069844,24600,84.14,3,1,0,pierwotny
Nieruchomoœci Wmoris,Mieszkanie,"Rotmanka, Raciborskiego Mariana",488639,6399.99,76.35,4,0,2022,pierwotny
Meerhouse Nieruchomoœci,Mieszkanie,Rumia,455426,6100,74.66,4,4,2021,pierwotny
Meerhouse Nieruchomoœci,Mieszkanie,Rumia,350880,6000,58.48,3,3,2021,pierwotny
Meerhouse Nieruchomoœci,Mieszkanie,Rumia,205637,6850,30.02,1,0,2021,pierwotny
Welcome Apartment,Mieszkanie,"Gdañsk Che³m, Pastelowa",529000,5193.91,101.85,4,3,2020,pierwotny
Orion Nieruchomoœci,Mieszkanie,"Reda, D³uga",227848,5022,45.37,2,1,2022,pierwotny
Orion Nieruchomoœci,Mieszkanie,"Reda, D³uga",350983,4752,73.86,4,2,2022,pierwotny
Orion Nieruchomoœci,Mieszkanie,"Reda, D³uga",274883,4752.47,57.84,3,2,2022,pierwotny
Orion Nieruchomoœci,Mieszkanie,"Rumia, Jeziorna",304116,5724,53.13,3,4,2022,pierwotny
Orion Nieruchomoœci,Mieszkanie,"Reda, D³uga",209533,4914,42.64,2,0,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Œródmieœcie,714609,17100,41.79,1,2,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Œródmieœcie,311733,11799.13,26.42,1,3,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Œródmieœcie,327819,11048.84,29.67,1,2,2021,pierwotny
Space Nieruchomoœci,Mieszkanie,"Gdynia Oksywie, Nasypowa",367232,7550,48.64,4,2,2020,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia Janowo,272500,6250,43.60,2,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia Janowo,329360.84,6177.06,53.32,3,1,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia Janowo,353472,6400,55.23,3,1,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia Janowo,408029.11,6014.58,67.84,4,1,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Œródmieœcie,348468,10999.62,31.68,1,1,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia Janowo,223116.98,6533.44,34.15,2,2,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,685500,11818.97,58,3,0,0,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rotmanka,219474,6850,32.04,1,0,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Gdañsk Sobieszewo,460000,9531.70,48.26,3,0,2021,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rotmanka,258347.60,6860,37.66,2,3,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rotmanka,383643,5850,65.58,3,2,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",254592,6800,37.44,2,1,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",264792,6800,38.94,2,1,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",334062,6700,49.86,2,2,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",269008,6800,39.56,2,2,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",272272,6800,40.04,2,2,0,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",268940,6800,39.55,2,1,2021,pierwotny
Invest Sarko,Mieszkanie,"Gdynia Wielki Kack, Kacze Buki",260304,6800,38.28,2,1,2021,pierwotny
MW,Mieszkanie,"Pruszcz Gdañski, Œwiêtego Wojciecha",429663,6900,62.27,3,0,2022,pierwotny
Home4.pl Nieruchomoœci,Mieszkanie,Rumia,270631,5724.01,47.28,2,1,2022,pierwotny
