company,address,price,sq_meter_price,area,n_rooms,floor,build_year,type
RAI Deweloper,"Gdañsk Osowa, Ogrody Diany, Diany 40/14",442 680 z³,7 000 z³,"63,24",3,1,2020,Mieszkanie
RAI Deweloper,"Gdañsk Osowa, Ogrody Diany, Diany 40/12",419 700 z³,7 500 z³,"55,96",3,1,2020,Mieszkanie
RAI Deweloper,"Gdañsk Osowa, Ogrody Diany, Diany 40/8",438 970 z³,7 000 z³,"62,71",3,1,2020,Mieszkanie
RAI Deweloper,"Gdañsk Osowa, Ogrody Diany, Diany 40/7",440 230 z³,7 000 z³,"62,89",3,Parter,2020,Mieszkanie
RAI Deweloper,"Gdañsk Osowa, Ogrody Diany, Diany 40/1",332 325 z³,7 500 z³,"44,31",2,Parter,2020,Mieszkanie
G&G Nieruchomoœci i Finanse,Reda,321 155 z³,4 698 z³,"68,36",3,Parter,2021,Mieszkanie
PARTNERZY Nieruchomoœci,"Gdañsk Ujeœcisko, Przemyska",310 000 z³,7 521 z³,"41,22",2,3,2017,Mieszkanie
Robyg Grupa Deweloperska,"Gdañsk Letnica , Starowiejska",301 000 z³,"9 741,10 z³","30,90",1,5,2021,Mieszkanie
,"Straszyn, Stanis³awa Wyspiañskiego",510 000 z³,3 607 z³,"141,40",4,Parter,2019,Mieszkanie
Muskat & Wicher Nieruchomoœci,"Gdañsk Przymorze, Prezydenta Lecha Kaczyñskiego",1 461 190 z³,13 830 z³,"105,65",4,8,2021,Mieszkanie
Muskat & Wicher Nieruchomoœci,"Gdynia Oksywie, Bosmañska",322 042 z³,7 145 z³,"45,07",2,Parter,2020,Mieszkanie
G&G Nieruchomoœci i Finanse,Pruszcz Gdañski,193 596 z³,6 800 z³,"28,47",1,3,2021,Mieszkanie
G&G Nieruchomoœci i Finanse,Pruszcz Gdañski,488 640 z³,6 400 z³,"76,35",4,Parter,2021,Mieszkanie
,"Mosty, Ogrodowa",539 000 z³,4 146 z³,130,4,Parter,2020,Mieszkanie
Dom & House,"Gdañsk Siedlce, Na Zboczu",1 671 244 z³,7 438 z³,"224,68",4,,2020,Dom bliŸniak
Net Nieruchomoœci,"Straszyn Modre, Plutona",320 900 z³,"5 014,06 z³",64,3,Parter,2020,Mieszkanie
Net Nieruchomoœci,"Straszyn Modre, Neptuna",350 900 z³,"4 678,67 z³",75,4,1,2020,Mieszkanie
Budner Inwestycje,"Gdañsk Oliwa, Karwieñska",917 000 z³,"11 671,12 z³","78,57",4,1,2020,Mieszkanie
Sadecki Nieruchomoœci,"Banino, Platynowa",490 000 z³,"2 737,43 z³",179,5,,2020,Dom szeregowy
Semeko Grupa Inwestycyjna S.A.,"Reda, D³uga",340 474 z³,"4 611,59 z³","73,83",3,2,2021,Mieszkanie
BH Rent Apartments Sp. z o.o.,"Sopot Dolny Sopot, Niepodleg³oœci",629 000 z³,"12 152,24 z³","51,76",2,3,2019,Mieszkanie
BH Rent Apartments Sp. z o.o.,"Sopot Dolny Sopot, Niepodleg³oœci",629 000 z³,12 152 z³,"51,76",2,3,2019,Mieszkanie
